Color Space	$Q3(S_{12})$	$Q3(S_{13})$	$Q3(S_{23})$	max
HSV	0.186133418362448	0.186659440736361	0.162773544394482	0.186659440736361
HSL	0.165517311460995	0.214707486317326	0.311289469985504	0.311289469985504
YCbCr	0.400460518342826	0.439294990723562	0.337702155482984	0.439294990723562
YIQ	0.408830959370809	0.49752505716774	0.406433708334577	0.49752505716774
LCHab	0.525834465160308	0.411030235162374	0.368758257040075	0.525834465160308
DIN99d	0.544230769230769	0.442607300988028	0.480269371641465	0.544230769230769
DIN99	0.544947433518862	0.493092269212655	0.523501840349666	0.544947433518862
DIN99o	0.560819648895458	0.408223817910852	0.521137044026191	0.560819648895458
RGB	0.603046817316173	0.447192698064549	0.565590231875486	0.603046817316173
Luv	0.559793543871927	0.611177475128859	0.437940012818417	0.611177475128859
LCHuv	0.612351195718699	0.407194033946441	0.341580575113509	0.612351195718699
HSI	0.244608678821158	0.239117831051628	0.630169457923765	0.630169457923765
CIELab	0.573018053092617	0.459749888953429	0.639028975560264	0.639028975560264
xyY	0.723026037679802	0.502412033968836	0.416540706605223	0.723026037679802
LMS	0.968036710423174	0.745753424657534	0.778987828315182	0.968036710423174
XYZ	0.972601133476646	0.816650275382821	0.784359038656462	0.972601133476646
